PGA(g),B(m),DF(m),Y(kN/m3),Beban(kN),SF
0.0,2.7,1.5,21,150,2.92
0.0,2.1,1.5,19,150,2.6
1.0,0.8,0.5,17,200,1.08
0.1,2.7,1.5,21,50,4.19
0.1,1.9,0.5,21,100,1.79
1.0,2.2,1.0,17,100,1.92
1.0,1.3,0.5,17,150,1.3
0.5,2.2,1.5,21,100,2.69
1.0,2.8,0.5,19,100,1.69
1.0,2.4,0.5,21,200,1.5
0.5,1.7,1.0,21,150,1.73
1.0,2.3,1.5,21,200,1.63
0.5,2.9,1.5,21,150,2.38
1.0,2.6,2.0,21,150,2.18
1.0,2.7,1.5,19,50,2.275
0.0,3.0,1.5,21,200,2.72
1.0,1.5,0.5,21,150,1.36
0.1,2.9,1.5,21,100,3.24
0.5,2.8,1.0,17,150,1.98
1.0,1.4,1.0,21,100,1.95
0.0,1.2,0.5,21,200,1.58
0.5,1.3,0.5,21,150,1.49
0.0,2.9,1.0,21,50,4.58
0.0,1.8,0.5,19,100,1.89
0.0,2.6,2.0,21,100,4.0
0.5,2.4,0.5,17,150,1.88
1.0,2.3,1.0,19,200,1.61
1.0,1.0,1.0,21,100,1.75
1.0,2.3,2.0,17,50,2.24
0.5,2.0,1.0,17,200,1.68
1.0,2.9,1.5,19,200,1.78
0.0,1.6,1.0,17,200,1.58
0.1,1.5,1.5,21,50,3.24
0.0,2.5,1.0,19,150,2.61
0.0,2.6,1.0,19,150,2.71
0.1,2.7,2.0,21,200,2.39
0.0,1.4,1.0,19,50,3.725
0.5,2.9,1.5,19,200,2.16
1.0,3.0,2.0,19,50,3.15
1.0,1.0,1.0,17,100,1.49
0.1,2.4,2.0,19,100,3.54
0.0,1.6,0.5,21,50,2.73
0.5,2.7,1.5,17,100,2.72
1.0,1.0,1.0,19,100,1.83
1.0,1.7,1.0,21,50,1.48
0.5,2.4,1.5,21,150,2.17
0.1,2.4,1.0,21,150,2.46
0.1,1.7,1.5,19,200,1.64
0.5,2.4,1.0,19,150,2.08
0.0,1.3,0.5,17,150,1.59
1.0,2.3,1.0,21,50,1.64
0.1,0.7,0.5,17,50,2.37
0.0,2.2,2.0,21,200,2.47
0.0,3.0,1.5,19,100,3.53
0.1,1.6,1.5,21,150,2.06
0.0,1.3,0.5,19,50,2.78
0.5,1.7,1.5,21,150,1.87
0.5,1.2,0.5,17,200,1.29
0.0,1.5,1.5,19,50,3.79
1.0,3.0,0.5,21,200,1.7
1.0,2.3,0.5,17,50,1.49
0.5,2.2,0.5,17,150,1.81
0.1,0.7,0.5,21,50,2.36
0.0,2.0,1.5,21,100,2.93
0.5,2.1,1.0,19,150,1.87
1.0,2.6,2.5,19,150,2.61
1.0,2.5,2.5,17,100,2.48
0.0,2.3,0.5,19,150,2.31
0.1,2.2,1.0,19,100,2.53
0.0,1.9,1.0,19,100,2.68
0.0,2.9,1.0,19,50,4.596
1.0,2.9,2.5,19,150,2.63
0.0,2.0,1.0,17,200,1.82
0.5,2.4,1.5,19,200,1.89
1.0,1.7,1.5,19,150,1.74
1.0,2.0,0.5,21,150,1.51
0.0,1.2,0.5,19,100,1.63
1.0,3.0,0.5,17,50,1.49
0.1,2.6,1.0,17,200,1.92
1.0,2.0,1.5,19,100,2.3
0.0,2.8,1.0,21,150,2.88
0.5,2.8,1.5,21,150,2.32
1.0,2.4,2.0,17,100,2.48
1.0,1.9,1.5,17,100,1.99
0.1,2.1,2.0,19,100,3.23
0.1,2.6,1.0,21,200,2.19
0.5,1.7,0.5,17,200,1.43
1.0,2.6,0.5,21,200,1.55
0.5,2.2,0.5,21,200,1.59
0.0,2.3,1.5,21,150,2.72
1.0,2.5,2.5,21,50,3.13
0.0,2.9,2.5,17,50,5.83
0.0,2.1,2.0,21,200,2.43
0.0,2.3,1.0,17,150,2.28
0.1,2.2,1.5,21,200,2.06
0.1,1.8,1.5,19,150,2.09
0.0,0.6,0.5,21,150,1.46
0.5,2.6,1.5,19,150,2.21
1.0,0.6,0.5,17,50,1.47
0.1,2.9,1.0,21,100,2.81
0.0,2.8,2.0,17,150,2.65
0.1,3.0,2.0,21,150,2.96
1.0,1.9,1.0,19,50,1.53
0.5,3.0,2.0,21,50,4.05
0.5,0.7,0.5,21,200,1.16
0.5,2.5,2.5,21,150,2.82
0.1,2.7,2.5,19,50,5.67
0.5,1.6,1.5,19,200,1.56
0.5,1.8,0.5,19,100,1.69
1.0,2.2,2.0,21,100,2.58
0.1,2.8,0.5,17,150,2.12
1.0,2.4,1.5,19,150,1.93
0.0,1.5,1.0,17,150,2.08
0.0,2.9,0.5,17,100,2.59
0.5,2.4,1.0,21,200,1.93
1.0,2.8,0.5,21,150,1.78
1.0,1.8,0.5,19,200,1.29
0.1,2.8,0.5,21,100,2.3
0.1,2.9,2.0,19,150,2.87
0.5,1.3,1.0,21,100,2.02
0.1,2.3,2.0,19,150,2.54
0.1,3.0,1.0,19,100,3.03
1.0,1.5,1.5,17,50,1.44
0.5,2.7,2.0,19,50,3.81
1.0,2.5,2.5,19,150,2.52
0.1,2.5,1.5,21,50,4.08
0.5,0.6,0.5,19,100,1.19
0.5,0.9,0.5,17,100,1.32
1.0,2.1,2.0,21,150,1.92
1.0,2.2,2.0,17,200,1.5
1.0,2.7,2.0,17,200,1.7
1.0,1.0,1.0,19,50,1.3
0.1,1.8,1.0,17,50,3.32
0.0,2.1,2.0,19,100,3.43
0.5,2.0,0.5,17,100,1.73
0.1,1.0,0.5,21,150,1.54
1.0,2.5,1.0,17,150,1.68
0.5,2.6,2.0,17,100,2.87
0.1,2.0,1.0,17,200,1.68
0.5,2.2,0.5,21,50,2.38
1.0,3.0,2.5,17,100,2.87
0.0,2.0,1.5,17,150,2.03
0.1,2.7,2.5,17,50,4.73
1.0,1.9,1.0,21,150,1.67
0.0,2.5,0.5,21,200,2.25
0.1,1.8,0.5,19,200,1.68
1.0,2.8,2.0,17,100,2.59
0.0,2.6,0.5,21,100,2.42
1.0,1.6,0.5,19,150,1.39
1.0,1.4,0.5,17,100,1.33
0.5,0.9,0.5,21,50,2.21
0.1,1.1,0.5,17,200,1.32
0.0,1.3,1.0,19,150,1.8
0.0,2.1,1.0,19,200,2.15
0.5,1.8,0.5,17,150,1.65
0.1,2.6,0.5,17,50,3.22
1.0,2.6,1.5,17,150,1.81
1.0,2.1,0.5,19,150,1.52
0.0,2.2,1.0,19,150,2.35
0.1,2.3,0.5,19,100,1.96
0.0,1.5,1.5,21,100,2.79
0.5,2.1,1.5,19,200,1.79
0.5,2.9,2.5,21,50,4.73
0.0,2.6,0.5,19,100,2.43
0.0,2.7,1.0,17,100,2.94
0.1,2.6,2.5,21,200,2.79
0.1,1.6,1.5,21,100,2.63
0.1,2.4,1.5,21,50,3.9
0.0,2.4,0.5,21,150,2.4
0.0,2.5,0.5,17,100,2.39
1.0,1.8,0.5,19,150,1.47
0.1,0.8,0.5,19,50,2.44
1.0,2.9,0.5,21,50,1.66
1.0,2.8,2.5,19,200,2.29
1.0,2.8,2.0,19,100,2.91
0.1,2.0,2.0,17,100,2.83
1.0,1.7,0.5,21,50,1.58
0.5,2.7,0.5,21,200,1.79
1.0,1.0,1.0,17,150,1.44
0.1,1.8,0.5,21,50,2.72
0.1,0.9,0.5,19,150,1.35
1.0,2.6,1.5,17,200,1.62
1.0,2.8,2.5,17,50,3.38
0.1,2.7,0.5,17,50,3.28
0.0,2.4,1.5,19,100,3.19
1.0,2.2,2.0,21,50,2.57
1.0,1.6,0.5,19,100,1.4
0.5,2.5,2.5,21,100,3.65
0.0,2.9,1.5,19,50,4.76
1.0,2.4,1.5,21,50,2.21
0.1,2.4,1.5,21,100,2.91
0.5,1.0,1.0,19,100,2.15
0.1,1.8,1.5,17,50,3.49
1.0,2.6,2.5,19,50,3.17
1.0,2.6,2.0,21,200,1.84
0.0,2.7,0.5,21,50,3.8
0.1,2.1,1.0,19,200,1.87
0.1,0.6,0.5,21,50,2.31
1.0,1.9,1.0,19,200,1.5
0.1,1.3,1.0,21,200,1.53
0.5,3.0,2.0,21,200,2.42
1.0,2.5,1.0,17,100,2.04
1.0,1.4,1.0,17,50,1.37
0.5,2.1,1.0,17,150,1.8
0.0,2.9,1.0,21,150,2.95
0.0,3.0,1.5,19,150,2.97
0.0,1.6,0.5,17,100,1.78
1.0,1.3,0.5,17,200,1.13
0.1,2.4,0.5,19,150,1.95
0.1,2.7,2.5,17,150,2.6
0.1,3.0,1.5,17,100,3.09
0.5,1.2,0.5,21,50,2.31
0.1,2.5,0.5,21,50,3.21
0.5,3.0,0.5,17,100,2.11
0.1,0.6,0.5,21,100,1.34
1.0,3.0,1.5,17,150,1.93
0.1,1.6,1.0,21,50,3.32
0.1,1.3,0.5,17,100,1.47
0.5,2.6,2.5,21,100,3.68
0.1,1.0,1.0,19,200,1.34
0.0,2.3,0.5,21,200,2.14
0.5,2.2,2.0,17,200,1.79
0.0,2.8,2.5,17,150,2.91
1.0,2.3,0.5,21,200,1.48
0.5,1.9,0.5,19,150,1.73
0.1,1.8,0.5,17,150,1.68
0.5,2.1,0.5,19,200,1.54
0.5,2.2,1.5,21,50,3.19
0.0,0.8,0.5,17,150,1.42
1.0,2.3,1.5,19,100,2.46
0.5,1.6,0.5,17,200,1.39
0.0,1.7,0.5,17,200,1.67
1.0,1.8,1.0,21,200,1.48
1.0,1.8,1.0,21,150,1.64
1.0,3.0,1.0,19,100,2.43
0.0,1.8,1.5,21,200,2.03
0.1,2.9,0.5,21,200,2.11
0.1,2.0,0.5,21,50,2.79
0.1,2.6,2.0,21,200,2.37
0.5,2.9,1.0,21,150,2.38
1.0,2.1,2.0,19,150,1.91
1.0,2.2,2.0,21,200,1.7
0.5,2.5,0.5,19,200,1.64
0.1,1.8,1.5,17,100,2.47
1.0,2.3,0.5,17,150,1.57
0.1,2.9,0.5,21,150,2.48
0.1,2.9,1.5,17,150,2.31
0.0,1.7,1.0,19,200,1.86
0.0,2.1,1.0,21,50,3.94
0.0,2.5,1.0,17,50,4.05
0.1,2.5,1.5,19,150,2.46
0.5,2.0,1.5,19,50,2.95
0.1,2.1,1.5,21,50,3.66
0.1,1.2,1.0,21,150,1.53
0.0,0.8,0.5,17,200,1.28
0.1,0.9,0.5,17,150,1.29
0.1,2.7,1.5,19,50,4.23
0.1,2.7,1.0,19,150,2.49
0.5,1.7,1.0,17,150,1.71
0.1,0.7,0.5,19,150,1.3
0.0,2.6,0.5,17,200,2.08
0.1,1.1,1.0,19,150,1.57
1.0,3.0,2.5,17,200,2.18
1.0,1.3,0.5,21,200,1.2
0.0,1.8,1.0,21,150,2.13
1.0,2.5,2.0,17,50,2.32
0.1,1.7,0.5,19,200,1.66
1.0,0.9,0.5,17,50,1.47
1.0,1.0,0.5,21,100,1.22
0.0,2.5,0.5,19,50,3.43
0.1,3.0,1.0,21,100,2.84
0.0,1.2,1.0,21,100,2.33
0.1,2.1,2.0,21,100,3.25
0.0,0.5,0.5,19,150,1.42
1.0,2.9,2.5,19,100,3.33
0.5,1.5,1.5,17,150,1.56
1.0,1.8,0.5,17,150,1.47
0.0,2.0,2.0,21,100,3.4
1.0,1.3,0.5,19,100,1.3
0.5,2.9,2.5,21,200,2.78
0.5,3.0,0.5,19,200,1.84
1.0,1.8,1.0,17,150,1.54
0.5,2.6,1.5,17,50,2.94
0.5,0.6,0.5,21,50,2.13
0.1,1.5,1.0,21,200,1.64
0.1,1.9,1.5,19,150,2.13
1.0,2.4,2.0,19,100,2.72
0.5,2.1,2.0,21,100,2.98
0.1,2.5,1.0,21,50,3.6
0.1,2.8,2.0,17,200,2.18
1.0,0.9,0.5,21,50,1.49
0.1,1.2,0.5,17,150,1.41
0.0,2.3,2.0,19,200,2.29
0.0,1.1,1.0,19,50,3.662
1.0,2.6,1.0,19,200,1.71
0.5,2.6,1.0,19,150,2.14
0.5,1.9,0.5,17,200,1.5
0.1,2.4,0.5,17,50,3.09
0.1,2.0,2.0,19,100,3.12
1.0,2.6,0.5,19,100,1.64
